[3,26,63,57,11,46,7,5,36,2,12,44,20,62,45,50,43,42,30,28,49,53,70,34,66,22,15,39,68,40,38,10,24,31,59,9,4,60,61,25,1,69,17,29,18,35,14,6,52,64,33,56,54,8,23,65,13,55,51,19,48,27,21,37,67,16,47,58,41,32] => 3343.050870055812
[32,27,46,40,58,55,22,31,36,13,65,38,68,57,54,7,33,6,9,24,8,16,3,53,42,48,25,35,17,59,1,11,12,60,66,15,23,67,39,29,63,2,30,64,21,70,5,51,47,52,44,43,20,14,62,56,50,28,49,34,26,19,41,10,61,37,4,69,45,18] => 3445.3996463032336
[42,23,63,47,5,25,9,33,61,7,53,22,39,55,70,8,15,54,3,24,43,65,67,60,29,44,37,59,57,10,32,68,48,49,20,52,36,26,6,17,31,35,11,18,64,58,66,12,27,38,34,51,1,40,62,41,19,4,45,16,2,56,46,14,69,13,21,30,50,28] => 3683.7226446056447
[9,14,57,19,15,33,25,46,70,3,26,47,24,8,53,39,50,20,63,66,61,16,65,12,48,60,35,59,52,37,32,62,41,64,40,43,6,18,27,11,23,67,38,1,7,56,22,21,28,36,42,13,45,55,68,2,29,10,31,69,49,34,51,54,4,17,58,44,30,5] => 3630.9041380220942
[11,36,10,68,48,29,2,65,34,66,37,22,28,50,3,51,70,12,35,1,24,53,16,18,13,41,69,57,59,52,4,42,15,21,20,38,27,8,17,64,43,67,58,25,55,19,23,54,31,46,47,7,14,30,56,44,61,62,39,33,5,32,40,26,6,45,9,60,63,49] => 3751.1831452197107
[42,21,39,58,51,32,53,29,68,28,64,47,57,18,61,38,56,45,54,2,23,35,40,5,46,4,16,31,25,60,12,36,30,50,66,33,1,59,55,43,41,48,19,11,52,63,10,49,62,22,69,14,24,8,15,27,44,6,7,3,67,65,70,26,34,9,20,37,17,13] => 3807.8969995431735
[54,62,53,67,33,30,14,22,44,23,15,36,25,47,65,31,24,52,10,3,12,39,27,21,7,29,59,5,35,50,42,34,60,8,45,66,11,13,16,57,48,55,49,4,69,28,37,70,58,63,56,68,46,2,26,41,19,18,40,61,9,38,20,1,51,6,17,64,43,32] => 3449.8152506250535
[19,54,16,38,29,31,39,46,53,27,42,8,55,37,11,50,24,30,51,22,17,56,7,65,43,4,68,13,3,10,45,60,63,9,66,32,20,47,57,26,28,12,35,2,23,18,69,34,48,62,6,67,36,64,15,5,52,70,44,1,21,40,25,33,61,59,49,58,41,14] => 3650.6617909352003
[16,12,49,54,14,43,57,27,20,23,36,21,60,59,33,40,26,70,35,55,66,8,69,5,32,37,1,67,47,3,18,34,56,38,15,50,64,24,29,41,61,6,45,52,22,44,46,9,11,31,62,42,2,30,48,63,10,17,68,65,53,19,51,7,58,4,25,28,39,13] => 3742.980345861661
[16,7,61,26,19,50,23,13,21,48,40,58,49,65,6,56,53,63,11,52,15,55,10,4,57,47,37,30,46,12,27,24,36,1,33,35,39,3,41,31,69,32,43,70,59,60,67,38,64,18,2,44,5,54,14,25,22,34,68,51,66,42,8,29,28,17,20,45,62,9] => 3565.87513868748
[65,63,61,14,52,33,37,51,15,44,1,50,28,7,39,41,43,32,57,42,69,47,35,9,56,23,48,55,64,29,18,30,11,67,70,22,21,36,46,6,13,40,3,49,16,68,25,58,5,4,2,45,24,17,38,27,10,20,12,19,34,59,31,62,8,26,54,66,53,60] => 3883.587714115683
[14,28,4,21,1,66,56,52,11,49,23,15,25,54,47,58,8,59,3,62,9,20,61,6,34,39,69,64,63,55,5,41,27,68,60,29,13,32,26,2,36,30,7,33,65,50,43,22,51,57,67,16,40,38,44,18,10,35,42,53,31,70,48,46,24,17,19,37,45,12] => 3643.0444473662087
[16,15,47,49,53,13,7,1,62,14,23,36,39,44,48,63,19,46,17,57,28,37,21,43,30,70,64,42,55,38,58,5,29,66,22,59,24,61,27,18,65,2,54,69,32,68,25,52,11,67,3,8,26,12,56,10,40,50,60,45,41,20,9,34,51,35,31,6,4,33] => 3379.867157259362
[47,30,23,39,57,35,69,16,43,50,5,26,19,33,51,70,25,66,6,56,58,63,49,12,10,34,32,37,29,4,48,3,40,15,46,41,60,61,20,11,62,42,55,1,9,24,13,28,53,21,8,38,17,18,65,67,7,36,31,59,22,44,64,2,14,45,52,27,68,54] => 3763.472316206734
[9,15,51,48,70,41,2,52,57,29,53,35,46,1,4,22,31,13,38,40,12,66,43,18,49,32,55,34,63,30,21,60,64,6,16,26,58,69,11,37,10,28,33,42,3,65,19,14,68,61,25,56,67,62,50,36,39,5,23,44,7,45,47,17,24,8,59,20,54,27] => 3514.7364984198243
